game_symbol, game_name
H1Z1_King_of_the_Kill, H1Z1 King of the Kill
Ark_Survival_Evolved, Ark Survival Evolved
Megaton_Rainfall, Megaton Rainfall
Natural_Doctrine, Natural Doctrine
Sound_Shapes, Sound Shapes
Batman_Arkham_Asylum, Batman Arkham Asylum
Zen_Pinball_2, Zen Pinball 2
Fez, Fez
Resident_Evil, Resident Evil
Gwent_The_Witcher_Card_Game, Gwent The Witcher Card Game
Tales_of_Zestiria, Tales of Zestiria
Freedom_Planet, Freedom Planet
Star_Wars_Bounty_Hunter, Star Wars Bounty Hunter
BioShock_The_Collection, BioShock The Collection
Pro_Evolution_Soccer_2015, Pro Evolution Soccer 2015
Romance_of_the_Three_Kingdoms_XIII, Romance of the Three Kingdoms XIII
Dance_Dance_Revolution_Extreme, Dance Dance Revolution Extreme
Resogun, Resogun
Soul_Axiom, Soul Axiom
The_Order_1886, The Order 1886
FIFA_16, FIFA 16
Resident_Evil_Revelations_2, Resident Evil Revelations 2
Madden_NFL_17, Madden NFL 17
Dance_Dance_Revolution_SuperNova, Dance Dance Revolution SuperNova
Saint_Seiya_Soldiers_Soul, Saint Seiya Soldiers Soul
Stealth_Inc_2_A_Game_of_Clones, Stealth Inc 2 A Game of Clones
Buzz!_Junior_Robo_Jam, Buzz! Junior Robo Jam
Dreams, Dreams
Ghost_of_a_Tale, Ghost of a Tale
Dragon_Fantasy, Dragon Fantasy
NHL_17, NHL 17
Metal_Gear_Solid_V_Ground_Zeroes, Metal Gear Solid V Ground Zeroes
Mordheim_City_of_the_Damned, Mordheim City of the Damned
Toki_Tori_2, Toki Tori 2
PixelJunk_Shooter_2, PixelJunk Shooter 2
FantaVision, FantaVision
The_King_of_Fighters_2000, The King of Fighters 2000
Guitar_Hero_Live, Guitar Hero Live
Wander, Wander
Risen_3_Titan_Lords, Risen 3 Titan Lords
Shadow_of_the_Beast, Shadow of the Beast
Basement_Crawl, Basement Crawl
Deep_Down, Deep Down
Stardew_Valley, Stardew Valley
Kamen_Rider_Battride_War, Kamen Rider Battride War
Journey, Journey
Destiny, Destiny
Surgeon_Simulator_2013, Surgeon Simulator 2013
Mad_Max, Mad Max
Raiders_of_the_Broken_Planet, Raiders of the Broken Planet
Assassins_Creed_IV_Black_Flag, Assassins Creed IV Black Flag
Psychonauts_in_the_Rhombus_of_Ruin, Psychonauts in the Rhombus of Ruin
Strike_Suit_Zero, Strike Suit Zero
Titanic_Honor_and_Glory, Titanic Honor and Glory
Pyre, Pyre
Assassins_Creed_Chronicles, Assassins Creed Chronicles
Knack, Knack
Rugby_15, Rugby 15
Butasan, Butasan
Sniper_Elite_III, Sniper Elite III
South_Park_The_Stick_of_Truth, South Park The Stick of Truth
Beyond_Eyes, Beyond Eyes
Thief, Thief
Paranautical_Activity, Paranautical Activity
Star_Force, Star Force
Arcania_Gothic_4, Arcania Gothic 4
Sword_Coast_Legends, Sword Coast Legends
McDroid, McDroid
WWE_2K15, WWE 2K15
Sportsfriends, Sportsfriends
Lara_Croft_and_the_Temple_of_Osiris, Lara Croft and the Temple of Osiris
JoJos_Bizarre_Adventure_Eyes_of_Heaven, JoJos Bizarre Adventure Eyes of Heaven
Miegakure, Miegakure
Wild_Arms_3, Wild Arms 3
Dance_Dance_Revolution_X2, Dance Dance Revolution X2
Hardware_Rivals, Hardware Rivals
Marvel_Ultimate_Alliance_2, Marvel Ultimate Alliance 2
The_Pinball_Arcade, The Pinball Arcade
Just_Dance_2015, Just Dance 2015
Transformers_Fall_of_Cybertron, Transformers Fall of Cybertron
Bully, Bully
Deus_Ex_Mankind_Divided, Deus Ex Mankind Divided
Colin_McRae_Rally, Colin McRae Rally
Lego_Jurassic_World, Lego Jurassic World
Guacamelee!, Guacamelee!
Reus, Reus
Murdered_Soul_Suspect, Murdered Soul Suspect
